,tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSE,Converged
15238,0.03,0.4,0.09,7.0,0.04,0.31000000000000005,0.1542278243556571,0.40611579171873297,0.4344148456128229,0
15241,0.03,0.42000000000000004,0.09,9.75,0.060000000000000005,0.41000000000000003,0.1731239284670023,0.42073769177877707,0.45496384459776684,0
15243,0.03,0.4,0.09,5.75,0.05,0.31000000000000005,0.15685210981916897,0.1418322386953449,0.21146859882275176,0
15244,0.03,0.44000000000000006,0.09,2.0,0.060000000000000005,0.21000000000000002,0.973678357634708,0.5620177166691458,1.1242390573077519,0
15245,0.03,0.38,0.09,2.0,0.02,0.16000000000000003,0.6194745058659119,0.26133659813543164,0.672343276119287,0
15246,0.03,0.4,0.09,9.0,0.08,0.41000000000000003,0.3999792008011208,0.13151149693087663,0.42104469465664013,0
15247,0.03,0.4,0.09,9.25,0.06999999999999999,0.11,1.0575313068034713,0.6912272315418426,1.2633952471394128,0
15248,0.03,0.36,0.09,6.0,0.08,0.31000000000000005,0.15302975385316353,0.21192248781492418,0.2613986350500448,0
15251,0.03,0.38,0.09,8.5,0.08,0.46,0.4378066984583722,0.24482351034299515,0.5016106621989675,0
15252,0.03,0.4600000000000001,0.09,8.75,0.01,0.41000000000000003,3.517117727015724,5.268100614683942,6.334271954386043,0
15253,0.03,0.44000000000000006,0.09,5.5,0.060000000000000005,0.36000000000000004,0.35129814327738357,0.16562799081576357,0.3883851397927111,0
15255,0.03,0.38,0.09,6.0,0.03,0.41000000000000003,0.6567037147475379,1.2328158997325325,1.396815954804551,0
15256,0.03,0.44000000000000006,0.09,4.75,0.01,0.21000000000000002,1.7161412103353457,1.9520660869362663,2.5991734573856227,0
15257,0.03,0.44000000000000006,0.09,7.5,0.02,0.11,0.08721800402969972,0.02505228033533082,0.09074468015770797,0
15258,0.03,0.38,0.09,9.75,0.08,0.11,1.1109114529517545,0.7324460584006627,1.330639502181581,0
15259,0.03,0.36,0.09,6.5,0.03,0.16000000000000003,0.32455112172871087,0.09614034238202677,0.3384913529895525,0
15260,0.03,0.4,0.09,8.25,0.09,0.21000000000000002,0.7215053660810682,0.4841816793828533,0.8689084485340077,0
15261,0.03,0.42000000000000004,0.09,1.5,0.04,0.31000000000000005,,,,1
15263,0.03,0.44000000000000006,0.09,9.25,0.02,0.21000000000000002,0.9519772178237539,0.8434067508572992,1.2718473063411038,0
15264,0.03,0.44000000000000006,0.09,6.25,0.04,0.41000000000000003,0.32102830234727203,0.8422139852050665,0.9013232315784231,0
15265,0.03,0.38,0.09,8.0,0.05,0.26,0.07025105368140817,0.0044951909488548545,0.07039472483797887,0
15266,0.03,0.38,0.09,9.5,0.02,0.16000000000000003,0.4572355967166596,0.38809949046604,0.5997379472776753,0
15267,0.03,0.4,0.09,10.0,0.01,0.41000000000000003,3.3010299074422362,5.253064079398486,6.204150278007035,0
15269,0.03,0.36,0.09,9.75,0.09999999999999999,0.16000000000000003,0.9312669644861333,0.6607293056918242,1.1418499790004015,0
15270,0.03,0.42000000000000004,0.09,8.75,0.060000000000000005,0.11,0.8001187059788467,0.6388104410412634,1.0238499515263932,0
15271,0.03,0.4600000000000001,0.09,9.5,0.02,0.21000000000000002,0.9991462918315064,0.8726554629739809,1.3265824020915484,0
15272,0.03,0.44000000000000006,0.09,3.0,0.08,0.41000000000000003,0.40657976243134086,0.08868481108209379,0.416139518593695,0
15273,0.03,0.4600000000000001,0.09,9.25,0.03,0.31000000000000005,1.0565085422750904,0.9041342949796415,1.390564318274624,0
15274,0.03,0.4600000000000001,0.09,4.0,0.01,0.31000000000000005,2.3643270606492224,3.031366168347202,3.8443755404900535,0
15275,0.03,0.4,0.09,6.25,0.04,0.21000000000000002,0.3346219885524225,0.050115223818050905,0.33835397275798446,0
15276,0.03,0.44000000000000006,0.09,6.75,0.09,0.26,0.25373539143914514,0.35049643602562747,0.4327001277275556,0
15277,0.03,0.4,0.09,5.75,0.03,0.36000000000000004,0.4652777766382105,0.9713178752044392,1.0770059536163499,0
15280,0.03,0.38000000000000006,0.1,3.5,0.03999999999999998,0.32000000000000006,0.11478392133318785,0.19029811524727894,0.22223573354276335,0
15281,0.03,0.38,0.09,9.75,0.01,0.36000000000000004,1.9918525931357747,4.512208253904069,4.932291564717328,0
15282,0.03,0.38000000000000006,0.1,3.5,0.03399999999999999,0.28,0.1116492969402095,0.18840627380300606,0.21900340069409052,0
15283,0.03,0.42000000000000004,0.09,9.75,0.02,0.31000000000000005,1.5494444900301974,1.630226530046259,2.2490924318381413,0
15284,0.03,0.36,0.09,9.0,0.01,0.36000000000000004,1.9972653137276004,4.410265770838911,4.841437070008526,0
15285,0.03,0.38,0.09,3.5,0.04,0.26,0.31286342734468625,0.018966209865618144,0.31343777897140995,0
15286,0.03,0.4600000000000001,0.09,5.0,0.04,0.16000000000000003,0.22454022667074386,0.278553101146502,0.3577850521635615,0
15287,0.03,0.38,0.09,7.5,0.09999999999999999,0.31000000000000005,0.22237787363050318,0.2971651468319708,0.37115905373854324,0
15288,0.03,0.36,0.09,7.0,0.06999999999999999,0.11,1.089385210317462,0.7165971819997621,1.3039446528547218,0
15289,0.03,0.36,0.09,9.0,0.09,0.26,0.2625202399168005,0.3614735072127234,0.44674374397706046,0
15290,0.03,0.36,0.09,3.0,0.05,0.36000000000000004,0.18656437258194977,0.04993858344673649,0.19313240855320796,0
15291,0.03,0.44000000000000006,0.09,4.75,0.04,0.36000000000000004,0.13240849702404242,0.5347894562270901,0.5509371766143872,0
15292,0.03,0.38000000000000006,0.1,3.5,0.025999999999999995,0.2,0.21631049927187446,0.07004086807000598,0.22736744554849445,0
15293,0.03,0.4600000000000001,0.09,7.0,0.06999999999999999,0.11,1.1801188892837629,0.6829285840713264,1.3634779220016762,0
15295,0.03,0.44000000000000006,0.09,9.5,0.05,0.26,0.24187406396547345,0.07060300011330943,0.2519679472555466,0
15297,0.03,0.36000000000000004,0.1,5.0,0.037999999999999985,0.3400000000000001,0.26462639053592385,0.45041204770372933,0.5223965345259651,0
15298,0.03,0.44000000000000006,0.09,4.5,0.09,0.41000000000000003,0.14727804745391498,0.04390941309484049,0.15368428618492844,0
15299,0.03,0.44000000000000006,0.09,8.0,0.01,0.36000000000000004,3.131425964632735,4.428312644744046,5.423631758478451,0
15300,0.03,0.4,0.09,6.0,0.03,0.26,0.1476569367782225,0.46747029232704546,0.4902357037049233,0
15301,0.03,0.38,0.09,3.0,0.09999999999999999,0.36000000000000004,0.5492742251642168,0.3335478595843982,0.6426167979932396,0
15302,0.03,0.4600000000000001,0.09,7.75,0.060000000000000005,0.36000000000000004,0.49190338407036405,0.24706540183387327,0.5504636700484505,0
15303,0.03,0.38,0.09,2.75,0.060000000000000005,0.31000000000000005,0.4912609701066259,0.22793773321896496,0.5415652785907745,0
15304,0.03,0.44000000000000006,0.09,4.75,0.06999999999999999,0.26,0.5863612648825817,0.26753228982685445,0.6445099371264195,0
15305,0.03,0.38000000000000006,0.1,4.5,0.029999999999999992,0.24000000000000002,0.10133940040513609,0.2375829869575401,0.25829314695930117,0
15308,0.03,0.36,0.09,1.75,0.09999999999999999,0.21000000000000002,1.1308863593924567,0.7456377013056231,1.3545772548910817,0
