tr,ts,ti,n,alpha,Ks,RMSETWT,RMSEVOL,RMSEAMP,RMSE,Converged,TWT,VOL,SAmp,Amp
0.03,0.35,0.07,4.0,2.5,0.129,0.008030760409897086,0.007411556137468066,0.3006451761052555,0.010928141522693188,0,"[0.         0.66042321 0.93166846 1.12036081 1.27367334 1.52133205
 1.73361094 1.89871674 2.05202927 2.32327452 2.55913996 2.75962557]","[0.      0.09275 0.1695  0.24    0.30675 0.43125 0.55075 0.66625 0.77925
 0.99725 1.21025 1.41925]",-0.07933935574242058,"[104.56492615 131.16838074 121.29428101 115.00424194 108.5049057
 100.28470612  94.3211441   90.09281158  87.32788849  83.80979919
  79.88487244  76.45476532]"
0.03,0.39999999999999997,0.07,5.0,6.5,0.273,0.006773518845899814,0.008620170222628324,0.15576350704373215,0.010963023863097625,0,"[0.         0.64862994 0.91987519 1.12036081 1.27367334 1.53312532
 1.74540421 1.92230328 2.08740909 2.38224088 2.62989959 2.84217848]","[0.     0.0975 0.178  0.252  0.322  0.4525 0.5775 0.6985 0.8165 1.0455
 1.2675 1.4865]",-0.07050157392966766,"[108.34111023 105.67072296  91.2146225   86.66255951  78.68193817
  73.55169678  70.25836182  68.18974304  66.15681458  63.62701035
  62.01039505  59.18642807]"
0.03,0.35,0.07,3.0,7.500000000000001,0.351,0.008344078795339842,0.007188637708078544,0.5596353353369006,0.011013635323581798,0,"[0.         0.66042321 0.94346173 1.14394735 1.29725989 1.56850513
 1.78078402 1.96947637 2.13458217 2.42941397 2.67707267 2.91293811]","[0.      0.09125 0.1675  0.2375  0.30375 0.42775 0.54675 0.66225 0.77525
 0.99525 1.21025 1.42125]",-0.09513775545555093,"[104.82159424 131.37083435 121.06715393 113.81255341 107.34586334
  96.17359161  90.15206909  85.60469055  82.68911743  78.17071533
  73.92521667  69.57003784]"
0.03,0.44999999999999996,0.1,4.0,2.5,0.129,0.007549960020968763,0.008125475449795588,0.06894397290846616,0.011091674697873963,0,"[0.         0.66042321 0.94346173 1.13215408 1.29725989 1.55671186
 1.76899075 1.94588983 2.11099563 2.39403415 2.62989959 2.84217848]","[0.      0.09775 0.17825 0.25175 0.32125 0.45025 0.57325 0.69225 0.80825
 1.03125 1.24925 1.46225]",-0.05679441765258356,"[106.36789703 107.50395203  94.89657593  91.59293365  86.72228241
  81.59926605  79.35047913  76.41273499  75.42224121  71.55208588
  70.59256744  67.93198395]"
0.03,0.44999999999999996,0.1,4.0,1.5,0.078,0.007841551137349844,0.007866518498528761,0.1234167882271993,0.01110729658951123,0,"[0.         0.63683667 0.91987519 1.10856754 1.26188007 1.52133205
 1.72181767 1.89871674 2.05202927 2.32327452 2.55913996 2.75962557]","[0.     0.0955 0.174  0.2455 0.313  0.4385 0.558  0.6735 0.786  1.002
 1.213  1.419 ]",-0.05347157591814084,"[106.36789703 108.23052979  96.16661835  92.99979401  88.47280884
  82.90372467  81.07854462  79.1649704   77.03259277  73.92586517
  72.25286865  70.41967773]"
0.03,0.35,0.07,5.0,3.5000000000000004,0.166,0.008574573066424281,0.00718507212667917,0.5360963828804207,0.01118698193155914,0,"[0.         0.68400976 0.96704828 1.15574063 1.32084643 1.56850513
 1.78078402 1.9576831  2.1227889  2.39403415 2.62989959 2.84217848]","[0.      0.0945  0.173   0.24525 0.31375 0.44175 0.56425 0.68325 0.79875
 1.02375 1.24275 1.45675]",-0.09370187935570566,"[104.56492615 129.3433075  118.73595428 111.20955658 103.48568726
  94.6005249   88.03005981  83.53030396  80.47792053  76.60735321
  72.43263245  68.56249237]"
0.03,0.39999999999999997,0.07,4.0,4.500000000000001,0.213,0.008189010690803467,0.007642828646505379,0.05329410350823984,0.011201460878561185,0,"[0.         0.63683667 0.90808192 1.08498099 1.23829353 1.4977455
 1.69823112 1.8751302  2.02844273 2.29968798 2.53555341 2.7478323 ]","[0.      0.09625 0.176   0.24875 0.3175  0.4455  0.568   0.6865  0.8015
 1.0245  1.2415  1.4545 ]",-0.05774905968599737,"[108.31534576 109.76144409  95.97803497  92.01904297  85.91674042
  81.10825348  78.51945496  76.0773468   74.83052063  71.86816406
  69.97029114  67.76387787]"
0.03,0.39999999999999997,0.07,9.0,5.500000000000001,0.213,0.00763499297888771,0.008281068840121317,0.4804525847686341,0.011263623702987101,0,"[0.         0.67221649 0.94346173 1.14394735 1.28546661 1.55671186
 1.75719748 1.93409656 2.09920236 2.38224088 2.62989959 2.86576502]","[0.      0.09825 0.178   0.2515  0.321   0.4505  0.5745  0.6945  0.812
 1.039   1.26    1.477  ]",-0.09030760767088668,"[108.31999207 102.93997955  85.94281006  80.21060181  69.46094513
  63.67054367  59.47764969  57.57628632  55.28980255  52.45943069
  51.67317581  49.28393936]"
0.03,0.39999999999999997,0.07,4.0,6.5,0.273,0.008068226782145553,0.007914592421401216,0.07955874024319332,0.01130208195887078,0,"[0.         0.6250434  0.89628865 1.08498099 1.22650026 1.48595223
 1.68643785 1.86333693 2.02844273 2.29968798 2.54734668 2.75962557]","[0.      0.093   0.17    0.24025 0.30675 0.43025 0.54825 0.66275 0.77475
 0.99075 1.20175 1.40875]",-0.06585308315483479,"[108.31534576 109.62624359  94.91296387  90.90415192  84.39361572
  79.61959076  75.30198669  72.82990265  70.90782928  68.66706848
  66.90681458  63.98944855]"
0.03,0.35,0.07,5.0,1.5,0.078,0.008403559982185197,0.0076515836749463054,0.3281111825874413,0.01136514641827765,0,"[0.         0.67221649 0.95525501 1.14394735 1.29725989 1.54491859
 1.75719748 1.92230328 2.07561582 2.34686107 2.57093323 2.77141885]","[0.      0.09575 0.175   0.248   0.31725 0.44625 0.56925 0.68875 0.80575
 1.03175 1.25275 1.46975]",-0.08101478213783392,"[104.56492615 130.48454285 119.15752411 112.89852905 105.0657196
  97.2771225   91.50147247  87.33335876  84.27320862  81.48605347
  77.42638397  74.04178619]"
